"","date","time","timezone","content","replies","retweets","likes","hashtags"
"8856","2018-04-05","16:39:20","Hora est. Pacífico, Sudamérica","#DebateCaribe Ahora todos tienen un lazo con el Caribe <Emoji: Face with tears of joy>","0","0","1","#DebateCaribe"
"8857","2018-04-05","16:39:20","Hora est. Pacífico, Sudamérica","Excelente debate!... Se deben hacer más así!.Buenas propuestas, buenas replicas, buenas preguntas y maravillosa representación de la Colombia Humana. #DebateCaribe","0","2","6","#DebateCaribe"
"8858","2018-04-05","16:39:20","Hora est. Pacífico, Sudamérica","Duque llegandole a la región Caribe al corazón Jajajajajaja que ternura #DebateCaribe","0","0","0","#DebateCaribe"
"8859","2018-04-05","16:39:20","Hora est. Pacífico, Sudamérica","""No es que el primo del hijo de la mamá de mi tío segundo es de la costa entonces por eso deben votar por mi""- cualquier candidato presidencial #DebateCaribe","0","0","0","#DebateCaribe"
"8860","2018-04-05","16:39:19","Hora est. Pacífico, Sudamérica","Hoy Duque tiene menos canas #debatecaribe","0","0","0","#debatecaribe"
"8861","2018-04-05","16:39:19","Hora est. Pacífico, Sudamérica","Que la abuela de Duque es Cartagenera <Emoji: Face with rolling eyes> #DebateCaribe  pic.twitter.com/MzU57XJmXb","0","1","3","#DebateCaribe"
"8862","2018-04-05","16:39:19","Hora est. Pacífico, Sudamérica","El #DebateCaribe me convenció que  Ivan Duque es el presidente","0","0","1","#DebateCaribe"
"8863","2018-04-05","16:39:19","Hora est. Pacífico, Sudamérica","#DebateCaribe cule verguerete efectivo, #DebateEnAntioquia cule vaina plana y aburrida. Los costeños somos la verga mk.","0","2","17","#DebateCaribe,#DebateEnAntioquia"
"8864","2018-04-05","16:39:19","Hora est. Pacífico, Sudamérica","#DebateCaribe Definitivamente todos los políticos son buenos en oratoria, pero para cumplir si mas bien flojitos. #Petro #Fajardo #Duque #DeLaCalle #Lleras","0","0","2","#DebateCaribe,#Petro,#Fajardo,#Duque,#DeLaCalle,#Lleras"
"8865","2018-04-05","16:39:18","Hora est. Pacífico, Sudamérica","#DebateCaribeJeje!   ese Iván Duque no es marica, le preguntó a De la Calle, y no a Petro!","0","0","0","#DebateCaribeJeje"
"8866","2018-04-05","16:39:18","Hora est. Pacífico, Sudamérica","Que le escribiría Fajardo a petro? @petrogustavo @sergio_fajardo #DebateCaribe <Emoji: Thinking face> En medio de la intervención final de @DeLaCalleHum","1","0","1","#DebateCaribe"
"8867","2018-04-05","16:39:18","Hora est. Pacífico, Sudamérica","Mk odio a Vargas Lleras. Demasiado pedante #DebateCaribe","0","1","3","#DebateCaribe"
